Ano,Crescimento_PIB
2023,3.09997909018263
2022,6.98584137580278
2021,5.55875672070374
2020,-8.20463159324387
2019,2.74568432648596
2018,2.94628343449202
2017,3.31472008175986
2016,2.00414129666575
2015,1.58979803702681
2014,0.741391420706506
2013,-0.984106574148328
2012,-4.05090267621935
2011,-1.71352745905065
2010,1.73762453640036
2009,-3.12207827545093
2008,0.319247344434558
2007,2.50657937751231
2006,1.62503532956156
2005,0.781847569123585
2004,1.78873552917291
2003,-0.930521045062918
2002,0.770924781247714
2001,1.94367213427915
2000,3.81617714108242
