Ano,Inflação(% anual)
2023,4.31128191898672
2022,7.83269124233323
2021,1.26565719069044
2020,-0.0124383299575305
2019,0.338178410046034
2018,0.993715683468326
2017,1.36861411643472
2016,0.607397074641719
2015,0.48793862390472
2014,-0.278153367467428
2013,0.274416666666663
2012,2.77333854051586
2011,3.65301100430724
2010,1.40257289895369
2009,-0.835530021504157
2008,2.58850657657959
2007,2.45396528138743
2006,3.1076654587105
2005,2.27716394887834
2004,2.36536204097302
2003,3.21899090682895
2002,3.60034658290914
2001,4.36990330551793
2000,2.85303039287157
