Ano,Gastos_com_Saude_per_capita(US$)
2023,2762.26293945
2022,2600.56665039
2021,2764.04296875
2020,2328.35571289
2019,2209.50219727
2018,2206.71240234
2017,1991.32263184
2016,1870.31848145
2015,1787.03759766
2014,2056.61474609
2013,2027.42089844
2012,1976.91479492
2011,2255.96923828
2010,2259.30371094
2009,2346.54199219
2008,2391.98120117
2007,2112.52880859
2006,1857.64526367
2005,1814.35449219
2004,1723.74401855
2003,1443.37792969
2002,1139.4029541
2001,1015.54956055
2000,995.34210205
