Ano,Acesso_a_Eletricidade(% populacao),Area_Florestal(% do total),CO2_per_capita,CO2_produzido_por_unidade_do_PIB,Consumo_de_Energia_Renovavel(% do total),Crescimento_PIB,Desemprego(% trabalhadores),Esperança_de_Vida,Gastos_com_Educacao(% PIB),Gastos_com_Saude_per_capita(US$),Incricoes_Escolares,Inflação(% anual),Investimento_Estrangeiro,PIB_per_capita,Populacao,Producao_de_Energia_Renovavel(% do total),Utilizadores_de_Internet(% populacao)
2000.0,100,35.8579234972678,6.24348268563984,0.331710324831777,20.1,3.81617714108242,3.806,76.3146341463415,5.16386985778809,995.34210205,119.482360839844,2.85303039287157,6.14861920837231,11526.3720667968,10289898,30.2988757883192,16.4304676923534
2001.0,100,35.8262295081967,6.12752132113551,0.321602497999626,20.8,1.94367213427915,3.829,76.8146341463415,5.33713006973267,1015.54956055,119.482360839844,4.36990330551793,5.02761444190448,11734.7649743954,10362722,34.5782536713324,18.0871365595338
2002.0,100,35.7945355191257,6.50103636107651,0.340455555204035,18.3,0.770924781247714,4.497,77.0658536585366,5.25872993469238,1139.4029541,115.040893554688,3.60034658290914,0.436137292252839,12936.6928204482,10419631,22.1007656104279,19.37
2003.0,100,35.7628415300546,6.00482597417051,0.318616870535352,22.1,-0.930521045062918,6.132,77.219512195122,5.28152990341187,1443.37792969,115.237442016602,3.21899090682895,6.26697257909762,15797.7821340276,10458821,38.491419789977,29.67
2004.0,100,35.7311475409836,6.15858031692713,0.321801271899162,19.9,1.78873552917291,6.319,77.6707317073171,5.04640007019043,1723.74401855,114.672149658203,2.36536204097302,1.312247289237,18064.1580932987,10483861,27.9183239108746,31.78
2005.0,100,35.71116212966,6.4581042393222,0.335456057019286,18.1,0.781847569123585,7.582,78.0707317073171,5.07393980026245,1814.35449219,114.44255065918,2.27716394887834,1.70741232717781,18780.12751241,10503330,18.5657877785889,34.99
2006.0,100,35.679457745709,5.98192142241307,0.306304766807682,22.3,1.62503532956156,7.649,78.419512195122,4.90769004821777,1857.64526367,113.981163024902,3.1076654587105,6.41633004151996,19839.4540499032,10522288,33.0084419159479,38.01
2007.0,100,35.647753361758,5.8179179972539,0.291193344719702,23.1,2.50657937751231,7.965,78.3219512195122,4.92149019241333,2112.52880859,113.063117980957,2.45396528138743,2.50093088549298,22811.0564844365,10542964,35.0771819182257,42.09
2008.0,100,35.6160489778069,5.61287237370618,0.280440650703833,23.2,0.319247344434558,7.553,78.5243902439025,4.69608020782471,2391.98120117,112.717491149902,2.58850657657959,2.96892594201258,24949.0413566739,10558177,32.9329838604429,44.13
2009.0,100,35.5377224587837,5.53453188594097,0.285710299120897,24.9,-3.12207827545093,9.432,78.7268292682927,5.56315994262695,2346.54199219,110.981079101562,-0.835530021504157,2.35133912553896,23151.2154130712,10568247,37.8755352839245,48.27
2010.0,100,35.5060596134949,5.03622400242124,0.255662971417447,27.8,1.73762453640036,10.771,79.0268292682927,5.40499019622803,2259.30371094,109.77262878418,1.40257289895369,3.77376819569615,22551.935098809,10573100,53.1556664817896,53.3
2011.0,100,35.6370782836554,4.86833131897901,0.251079000023608,27.2,-1.71352745905065,12.715,80.4707317073171,5.11688995361328,2255.96923828,109.651611328125,3.65301100430724,4.23648756430888,23246.5425416481,10557560,47.0629598566582,55.2499968797194
2012.0,100,35.7680969538159,4.73413585593852,0.253436616797653,25.5,-4.05090267621935,15.509,80.3731707317073,4.94226980209351,1976.91479492,108.395370483398,2.77333854051586,7.21535195239496,20593.4274224109,10514844,43.7842922727078,60.3399974868057
2013.0,100,35.893158903643,4.60337018320703,0.247523342712428,30.2,-0.984106574148328,16.237,80.7219512195122,5.26528978347778,2027.42089844,109.373641967773,0.274416666666663,6.43654323197598,21676.4859642714,10457295,59.2373967062102,62.0956
2014.0,100,36.0239985328408,4.58326274759251,0.243313046557953,30.5,0.741391420706506,13.88,81.1219512195122,5.12005996704102,2056.61474609,107.813301086426,-0.278153367467428,5.43851031792652,22120.6850127107,10401062,61.3689632968448,64.5924200648949
2015.0,100,36.154994891142,4.99335011637296,0.259856731196256,27.2,1.58979803702681,12.405,81.1243902439025,4.89425992965698,1787.03759766,106.229377746582,0.48793862390472,0.63522205292535,19215.7813014347,10358076,48.6663487218619,68.6328614804299
